0,0
2992.588491,45.65968586
3053.045897,47.07329843
3113.512627,48.32984293
3205.965379,50.68586387
3301.979386,53.04188482
3387.309631,55.39790576
3469.125237,56.96858639
3561.596635,59.0104712
3657.601319,61.52356021
3732.294417,63.09424084
3831.888322,65.13612565
3895.869692,67.17801047
3991.902343,69.21989529
4080.803165,71.41884817
4176.817172,73.77486911
4255.052878,75.65968586
4326.194045,77.07329843
4407.991006,78.95811518
4486.236035,80.68586387
4578.69811,82.88481675
4660.504393,84.61256545
4742.310676,86.34031414
4841.895258,88.53926702
4955.762146,90.10994764
5037.531138,92.46596859
5169.15768,94.82198953
5272.331484,96.54973822
5389.759625,98.12041885
5510.721051,100.1623037
5645.927492,102.2041885
5749.129264,103.460733
5806.062708,104.2460733
