0,0
3006.297845,1.579391774
3067.922659,1.634934576
3139.810166,1.723413811
3226.096134,1.768387013
3314.421916,1.857105786
3402.762668,1.90210893
3499.300101,2.012805286
3595.837534,2.123501642
3673.893136,2.201141796
3760.167876,2.27890172
3848.459972,2.465980657
3953.209057,2.598654597
4025.059136,2.796422904
4129.789506,2.983741379
4240.687972,3.160220774
4328.961355,3.401944248
4441.884663,3.665884842
4546.588834,3.929705668
4643.062639,4.226193447
4716.967503,4.423991696
4805.222171,4.720359706
4895.531624,5.016757658
4985.852305,5.280368888
5055.632629,5.521822882
5123.384368,5.686744583
5182.905742,5.884333237
5254.763307,6.06024373
5314.269709,6.301548012
5388.17083,6.510275169
5453.8603,6.697024742
5492.867516,6.795953809
5517.113221,7.998492909
5568.441658,8.119459443
5630.040272,8.251504596
5697.788269,8.427355204
5753.211302,8.592097252
5804.532253,8.734921601
